iata,city,state,latitude,longitude,cod_meso,meso,cod_micro,micro,saldo_data_fixa,output_data_fixa,input_data_fixa,rate_ue,output_ue,input_ue
3159803,Santa Vitória,MG,-18.838612,-50.121387,3105,Triângulo Mineiro/Alto Paranaíba,31017,Ituiutaba,5226,506,5732,5695,560,6255
3158300,Santana da Vargem,MG,-21.249166,-45.506668,3110,Sul/Sudoeste de Minas,31050,Varginha,199,179,378,141,253,394
3158409,Santana de Cataguases,MG,-21.287222,-42.55722,3112,Zona da Mata,31066,Cataguases,-137,294,157,-120,307,187
3158508,Santana de Pirapama,MG,-19.006111,-44.043056,3107,Metropolitana de Belo Horizonte,31027,Sete Lagoas,-333,642,309,-308,689,381
3158607,Santana do Deserto,MG,-21.950001,-43.166389,3112,Zona da Mata,31065,Juiz de Fora,-88,194,106,-79,185,106
3158706,Santana do Garambéu,MG,-21.601389,-44.104443,3111,Campo das Vertentes,31058,São João Del Rei,362,381,743,417,431,848
3158805,Santana do Jacaré,MG,-20.897778,-45.130833,3109,Oeste de Minas,31045,Campo Belo,-132,219,87,-137,272,135
3158904,Santana do Manhuaçu,MG,-20.1075,-41.925278,3112,Zona da Mata,31061,Manhuaçu,-277,569,292,-240,572,332
3158953,Santana do Paraíso,MG,-19.363611,-42.568611,3108,Vale do Rio Doce,31039,Ipatinga,344,1357,1701,314,1572,1886
3159001,Santana do Riacho,MG,-19.168888,-43.714447,3107,Metropolitana de Belo Horizonte,31027,Sete Lagoas,-102,300,198,-72,295,223
3159100,Santana dos Montes,MG,-20.787777,-43.691669,3107,Metropolitana de Belo Horizonte,31034,Conselheiro Lafaiete,526,978,1504,432,1298,1730
3159902,Santo Antônio do Amparo,MG,-20.946388,-44.918892,3109,Oeste de Minas,31046,Oliveira,-353,772,419,-859,1350,491
3160009,Santo Antônio do Aventureiro,MG,-21.758055,-42.815556,3112,Zona da Mata,31066,Cataguases,58,96,154,48,127,175
3160108,Santo Antônio do Grama,MG,-20.314444,-42.608608,3112,Zona da Mata,31060,Ponte Nova,-50,307,257,-41,339,298
3160207,Santo Antônio do Itambé,MG,-18.465834,-43.306667,3107,Metropolitana de Belo Horizonte,31028,Conceição do Mato Dentro,-38,140,102,-134,244,110
3160306,Santo Antônio do Jacinto,MG,-16.533888,-40.175835,3103,Jequitinhonha,31014,Almenara,-479,783,304,-736,1124,388
3160405,Santo Antônio do Monte,MG,-20.087223,-45.29361,3109,Oeste de Minas,31043,Divinópolis,904,826,1730,1037,993,2030
3160454,Santo Antônio do Retiro,MG,-15.339444,-42.623608,3102,Norte de Minas,31005,Salinas,-125,209,84,-115,205,90
3160504,Santo Antônio do Rio Abaixo,MG,-19.228334,-43.253887,3107,Metropolitana de Belo Horizonte,31028,Conceição do Mato Dentro,2,76,78,-45,127,82
3160603,Santo Hipólito,MG,-18.296944,-44.223057,3106,Central Mineira,31025,Curvelo,-62,201,139,-72,240,168
3160702,Santos Dumont,MG,-21.456667,-43.552498,3112,Zona da Mata,31065,Juiz de Fora,-736,1652,916,-979,2029,1050
3160801,São Bento Abade,MG,-21.581667,-45.075832,3110,Sul/Sudoeste de Minas,31050,Varginha,12,306,318,-115,465,350
3160900,São Brás do Suaçuí,MG,-20625,-43.949169,3107,Metropolitana de Belo Horizonte,31034,Conselheiro Lafaiete,222,119,341,139,182,321
3160959,São Domingos das Dores,MG,-19.526945,-42.011391,3108,Vale do Rio Doce,31040,Caratinga,161,187,348,98,296,394
3161007,São Domingos do Prata,MG,-19865,-42.968334,3107,Metropolitana de Belo Horizonte,31031,Itabira,-419,1286,867,-638,1647,1009
3161056,São Félix de Minas,MG,-18.591112,-41.486389,3108,Vale do Rio Doce,31038,Mantena,7,223,230,37,232,269
3161106,São Francisco,MG,-15.948611,-44.864445,3102,Norte de Minas,31003,Januária,-1483,2387,904,-1837,3161,1324
3161205,São Francisco de Paula,MG,-20.710001,-44.985279,3109,Oeste de Minas,31046,Oliveira,-306,418,112,-324,522,198
3161304,São Francisco de Sales,MG,-19.862778,-49.774166,3105,Triângulo Mineiro/Alto Paranaíba,31021,Frutal,92,219,311,-107,419,312
3161403,São Francisco do Glória,MG,-20.789444,-42.267498,3112,Zona da Mata,31063,Muriaé,-106,467,361,-28,444,416
3161502,São Geraldo,MG,-20.922777,-42.834442,3112,Zona da Mata,31064,Ubá,296,309,605,265,398,663
3161601,São Geraldo da Piedade,MG,-18.836111,-42.288055,3108,Vale do Rio Doce,31037,Governador Valadares,-167,361,194,-240,460,220
3161650,São Geraldo do Baixio,MG,-18.9,-41.359997,3108,Vale do Rio Doce,31037,Governador Valadares,182,227,409,137,279,416
3161700,São Gonçalo do Abaeté,MG,-18.338333,-45.833332,3101,Noroeste de Minas,31002,Paracatu,381,337,718,354,394,748
3161809,São Gonçalo do Pará,MG,-19.982779,-44.858887,3109,Oeste de Minas,31043,Divinópolis,643,362,1005,749,495,1244
3161908,São Gonçalo do Rio Abaixo,MG,-19.826113,-43.362221,3107,Metropolitana de Belo Horizonte,31031,Itabira,300,302,602,229,506,735
3125507,São Gonçalo do Rio Preto,MG,-18.004168,-43.390835,3103,Jequitinhonha,31010,Diamantina,-770,1766,996,-822,1917,1095
3162005,São Gonçalo do Sapucaí,MG,-21.892221,-45.595276,3110,Sul/Sudoeste de Minas,31053,Santa Rita do Sapucaí,-693,1933,1240,-582,2227,1645
3162104,São Gotardo,MG,-19.31111,-46.048889,3105,Triângulo Mineiro/Alto Paranaíba,31020,Patos de Minas,232,176,408,323,221,544
3162203,São João Batista do Glória,MG,-20.641388,-46.505554,3110,Sul/Sudoeste de Minas,31047,Passos,11,333,344,114,293,407
3162252,São João da Lagoa,MG,-16.853056,-44.351944,3102,Norte de Minas,31007,Montes Claros,-130,248,118,-133,258,125
3162302,São João da Mata,MG,-21.93,-45.92889,3110,Sul/Sudoeste de Minas,31053,Santa Rita do Sapucaí,-889,1330,441,-1173,1710,537
3162401,São João da Ponte,MG,-15.929167,-44.007778,3102,Norte de Minas,31007,Montes Claros,12,137,149,42,165,207
3162450,São João das Missões,MG,-14.883611,-44.090553,3102,Norte de Minas,31003,Januária,-988,3643,2655,-1086,4127,3041
3162500,São João del Rei,MG,-21.135555,-44.261665,3111,Campo das Vertentes,31058,São João Del Rei,162,448,610,270,460,730
3162559,São João do Manhuaçu,MG,-20.393612,-42.15139,3112,Zona da Mata,31061,Manhuaçu,139,162,301,136,178,314
3162575,São João do Manteninha,MG,-18.72139,-41.160278,3108,Vale do Rio Doce,31038,Mantena,-302,651,349,-411,843,432
3162609,São João do Oriente,MG,-19.338612,-42.15778,3108,Vale do Rio Doce,31040,Caratinga,44,147,191,97,121,218
3162658,São João do Pacuí,MG,-16.541945,-44.516109,3102,Norte de Minas,31007,Montes Claros,-88,360,272,-214,501,287
3162708,São João do Paraíso,MG,-15.313611,-42.014446,3102,Norte de Minas,31005,Salinas,-337,1033,696,-748,1471,723
3162807,São João Evangelista,MG,-18.547777,-42.763332,3108,Vale do Rio Doce,31035,Guanhães,-491,1257,766,-645,1438,793
3162906,São João Nepomuceno,MG,-21.539999,-43.010555,3112,Zona da Mata,31065,Juiz de Fora,3596,1252,4848,3434,1715,5149
3162922,São Joaquim de Bicas,MG,-20.049166,-44.273888,3107,Metropolitana de Belo Horizonte,31030,Belo Horizonte,309,297,606,327,297,624
3162948,São José da Barra,MG,-20.718056,-46.31139,3110,Sul/Sudoeste de Minas,31047,Passos,2129,479,2608,2194,582,2776
3162955,São José da Lapa,MG,-19.7075,-43.616386,3107,Metropolitana de Belo Horizonte,31030,Belo Horizonte,-89,304,215,-100,347,247
3163003,São José da Safira,MG,-18.324446,-42.143333,3108,Vale do Rio Doce,31037,Governador Valadares,258,249,507,212,351,563
3163102,São José da Varginha,MG,-19.709723,-44.556942,3107,Metropolitana de Belo Horizonte,31029,Pará de Minas,-70,309,239,-100,357,257
3163201,São José do Alegre,MG,-22.328611,-45.52639,3110,Sul/Sudoeste de Minas,31053,Santa Rita do Sapucaí,-79,258,179,-152,350,198
3163300,São José do Divino,MG,-18.478611,-41.389446,3108,Vale do Rio Doce,31037,Governador Valadares,-360,638,278,-421,718,297
3163409,São José do Goiabal,MG,-19.92861,-42.705002,3107,Metropolitana de Belo Horizonte,31031,Itabira,-285,519,234,-397,661,264
3163508,São José do Jacuri,MG,-18.275278,-42.67028,3108,Vale do Rio Doce,31036,Peçanha,59,88,147,13,145,158
3163607,São José do Mantimento,MG,-20.005278,-41.744724,3112,Zona da Mata,31061,Manhuaçu,297,1394,1691,261,1783,2044
3163706,São Lourenço,MG,-22.116388,-45.054443,3110,Sul/Sudoeste de Minas,31054,São Lourenço,-77,386,309,-126,470,344
3163805,São Miguel do Anta,MG,-20.707224,-42.718891,3112,Zona da Mata,31062,Viçosa,-73,264,191,-113,356,243
3163904,São Pedro da União,MG,-21.126667,-46.615276,3110,Sul/Sudoeste de Minas,31048,São Sebastião do Paraíso,-237,535,298,-342,746,404
3164100,São Pedro do Suaçuí,MG,-18.365833,-42.602497,3108,Vale do Rio Doce,31036,Peçanha,-130,511,381,-80,530,450
3164001,São Pedro dos Ferros,MG,-20.170277,-42.523888,3112,Zona da Mata,31060,Ponte Nova,-135,558,423,-33,613,580
3164209,São Romão,MG,-16.36861,-45.069443,3102,Norte de Minas,31006,Pirapora,-55,416,361,-69,468,399
3164308,São Roque de Minas,MG,-20.245277,-46.365833,3109,Oeste de Minas,31042,Piuí,-2,283,281,82,225,307
3164407,São Sebastião da Bela Vista,MG,-22.159166,-45.754166,3110,Sul/Sudoeste de Minas,31053,Santa Rita do Sapucaí,105,124,229,161,112,273
3164431,São Sebastião da Vargem Alegre,MG,-21.072224,-42.636391,3112,Zona da Mata,31063,Muriaé,272,226,498,222,317,539
3164472,São Sebastião do Anta,MG,-19.497778,-41.983612,3108,Vale do Rio Doce,31040,Caratinga,-670,924,254,-812,1114,302
3164506,São Sebastião do Maranhão,MG,-18.084446,-42.571388,3108,Vale do Rio Doce,31036,Peçanha,288,136,424,268,207,475
3164605,São Sebastião do Oeste,MG,-20.275555,-45.005001,3109,Oeste de Minas,31043,Divinópolis,1292,1074,2366,1273,1218,2491
3164704,São Sebastião do Paraíso,MG,-20.916945,-46.99139,3110,Sul/Sudoeste de Minas,31048,São Sebastião do Paraíso,73,66,139,36,122,158
3164803,São Sebastião do Rio Preto,MG,-19.291945,-43.173889,3107,Metropolitana de Belo Horizonte,31028,Conceição do Mato Dentro,61,67,128,57,74,131
3164902,São Sebastião do Rio Verde,MG,-22.218334,-44.976112,3110,Sul/Sudoeste de Minas,31054,São Lourenço,-1,477,476,-45,608,563
3165206,São Thomé das Letras,MG,-21.722223,-44.985279,3110,Sul/Sudoeste de Minas,31050,Varginha,66,228,294,148,222,370
3165008,São Tiago,MG,-20.913055,-44.509167,3111,Campo das Vertentes,31058,São João Del Rei,-325,592,267,-393,685,292
3165107,São Tomás de Aquino,MG,-20.784445,-47.098053,3110,Sul/Sudoeste de Minas,31048,São Sebastião do Paraíso,-139,394,255,-207,541,334
3165305,São Vicente de Minas,MG,-21.712502,-44.444168,3110,Sul/Sudoeste de Minas,31055,Andrelândia,-60,119,59,-145,209,64
3165404,Sapucaí-Mirim,MG,-22.747778,-45.7425,3110,Sul/Sudoeste de Minas,31052,Pouso Alegre,242,158,400,231,191,422
3165503,Sardoá,MG,-18.783611,-42.364998,3108,Vale do Rio Doce,31035,Guanhães,2804,1007,3811,3127,1063,4190
3165537,Sarzedo,MG,-20.035276,-44.144726,3107,Metropolitana de Belo Horizonte,31030,Belo Horizonte,-302,478,176,-365,574,209
3165560,Sem-Peixe,MG,-20.109167,-42.839443,3112,Zona da Mata,31060,Ponte Nova,-138,325,187,-273,483,210
3165578,Senador Amaral,MG,-22.587223,-46.176666,3110,Sul/Sudoeste de Minas,31052,Pouso Alegre,-139,318,179,-109,328,219
3165602,Senador Cortes,MG,-21.800554,-42.945557,3112,Zona da Mata,31065,Juiz de Fora,-33,156,123,-52,189,137
3165701,Senador Firmino,MG,-20.911943,-43.096664,3112,Zona da Mata,31064,Ubá,-242,407,165,-359,585,226
3165800,Senador José Bento,MG,-22.164444,-46.17889,3110,Sul/Sudoeste de Minas,31052,Pouso Alegre,99,100,199,60,135,195
3165909,Senador Modestino Gonçalves,MG,-17.946667,-43.225002,3103,Jequitinhonha,31010,Diamantina,-374,543,169,-400,673,273
3166006,Senhora de Oliveira,MG,-20.793888,-43.344444,3112,Zona da Mata,31062,Viçosa,-92,284,192,-294,518,224
3166105,Senhora do Porto,MG,-18.892221,-43.084164,3108,Vale do Rio Doce,31035,Guanhães,112,106,218,53,168,221
3166204,Senhora dos Remédios,MG,-21.028055,-43.5825,3111,Campo das Vertentes,31059,Barbacena,-113,307,194,-239,482,243
3166303,Sericita,MG,-20.47389,-42.481945,3112,Zona da Mata,31060,Ponte Nova,-189,405,216,-217,489,272
3166402,Seritinga,MG,-21.909166,-44.519165,3110,Sul/Sudoeste de Minas,31055,Andrelândia,47,41,88,15,67,82
3166501,Serra Azul de Minas,MG,-18.361944,-43.170002,3107,Metropolitana de Belo Horizonte,31028,Conceição do Mato Dentro,-350,433,83,-467,578,111
3166600,Serra da Saudade,MG,-19.437777,-45.795834,3106,Central Mineira,31026,Bom Despacho,19,99,118,-1,145,144
3166808,Serra do Salitre,MG,-19.111389,-46.689724,3105,Triângulo Mineiro/Alto Paranaíba,31019,Patrocínio,88,140,228,39,184,223
3166709,Serra dos Aimorés,MG,-17.782499,-40.247501,3104,Vale do Mucuri,31016,Nanuque,218,601,819,304,576,880
3166907,Serrania,MG,-21.548056,-46.039722,3110,Sul/Sudoeste de Minas,31049,Alfenas,-319,561,242,-266,541,275
3166956,Serranópolis de Minas,MG,-15.828611,-42.871387,3102,Norte de Minas,31004,Janaúba,-47,186,139,-96,261,165
3167004,Serranos,MG,-21.890278,-44.509998,3110,Sul/Sudoeste de Minas,31055,Andrelândia,-8,131,123,-10,146,136
3167103,Serro,MG,-18.604723,-43.379444,3107,Metropolitana de Belo Horizonte,31028,Conceição do Mato Dentro,-997,1627,630,-1225,2023,798
3167202,Sete Lagoas,MG,-19.465834,-44.246666,3107,Metropolitana de Belo Horizonte,31027,Sete Lagoas,4116,6950,11066,4258,8474,12732
3165552,Setubinha,MG,-17.725555,-42.272778,3104,Vale do Mucuri,31015,Teófilo Otoni,-85,190,105,-118,240,122
3167301,Silveirânia,MG,-21.158888,-43.215279,3112,Zona da Mata,31064,Ubá,186,258,444,81,399,480
3167400,Silvianópolis,MG,-22.029444,-45.834999,3110,Sul/Sudoeste de Minas,31053,Santa Rita do Sapucaí,45,87,132,67,92,159
3167509,Simão Pereira,MG,-21.963612,-43.311943,3112,Zona da Mata,31065,Juiz de Fora,151,767,918,-13,1052,1039
3167608,Simonésia,MG,-20.12389,-42.001389,3112,Zona da Mata,31061,Manhuaçu,50,259,309,-62,436,374
3167707,Sobrália,MG,-19.234722,-42.098331,3108,Vale do Rio Doce,31037,Governador Valadares,82,182,264,70,217,287
3167806,Soledade de Minas,MG,-22.059999,-45.044998,3110,Sul/Sudoeste de Minas,31054,São Lourenço,-122,307,185,-127,362,235
3167905,Tabuleiro,MG,-21.358889,-43.24778,3112,Zona da Mata,31064,Ubá,217,957,1174,255,1086,1341
3168002,Taiobeiras,MG,-15.807778,-42.233055,3102,Norte de Minas,31005,Salinas,-35,246,211,-44,286,242
3168051,Taparuba,MG,-19.758612,-41.615555,3108,Vale do Rio Doce,31041,Aimorés,-20,221,201,61,204,265
3168101,Tapira,MG,-19.922222,-46.823055,3105,Triângulo Mineiro/Alto Paranaíba,31023,Araxá,-50,253,203,-27,231,204
3168200,Tapiraí,MG,-19.887777,-46.020279,3109,Oeste de Minas,31042,Piuí,183,180,363,288,157,445
3168309,Taquaraçu de Minas,MG,-19.669722,-43.687222,3107,Metropolitana de Belo Horizonte,31031,Itabira,-308,1063,755,-585,1495,910
3168408,Tarumirim,MG,-19.280832,-42.006668,3108,Vale do Rio Doce,31040,Caratinga,-304,862,558,-203,800,597
3168507,Teixeiras,MG,-20.651112,-42.856667,3112,Zona da Mata,31062,Viçosa,-1072,6368,5296,-2166,8589,6423
3168606,Teófilo Otoni,MG,-17.8575,-41.50528,3104,Vale do Mucuri,31015,Teófilo Otoni,641,3662,4303,192,4680,4872
3168705,Timóteo,MG,-19.5825,-42.644447,3108,Vale do Rio Doce,31039,Ipatinga,244,249,493,279,250,529
3168804,Tiradentes,MG,-21.110279,-44.178059,3111,Campo das Vertentes,31058,São João Del Rei,-195,504,309,-255,605,350
3168903,Tiros,MG,-19.003889,-45.964447,3105,Triângulo Mineiro/Alto Paranaíba,31020,Patos de Minas,168,562,730,30,734,764
3169000,Tocantins,MG,-21.174999,-43.017776,3112,Zona da Mata,31064,Ubá,71,63,134,36,92,128
3169059,Tocos do Moji,MG,-22.370556,-46.095554,3110,Sul/Sudoeste de Minas,31052,Pouso Alegre,40,53,93,40,61,101
3169109,Toledo,MG,-22.743055,-46.371944,3110,Sul/Sudoeste de Minas,31052,Pouso Alegre,69,213,282,44,251,295
3169208,Tombos,MG,-20.904722,-42.022778,3112,Zona da Mata,31063,Muriaé,-71,2450,2379,-325,3009,2684
3169307,Três Corações,MG,-21.696943,-45.253334,3110,Sul/Sudoeste de Minas,31050,Varginha,377,1755,2132,503,2108,2611
3169356,Três Marias,MG,-18.20639,-45.241669,3106,Central Mineira,31024,Três Marias,-1064,2746,1682,-1267,3284,2017
3169406,Três Pontas,MG,-21.366667,-45.512501,3110,Sul/Sudoeste de Minas,31050,Varginha,399,156,555,344,252,596
3169505,Tumiritinga,MG,-18.979168,-41.645279,3108,Vale do Rio Doce,31037,Governador Valadares,95,1315,1410,-68,1647,1579
3169604,Tupaciguara,MG,-18.592222,-48.705002,3105,Triângulo Mineiro/Alto Paranaíba,31018,Uberlândia,12,839,851,-3,971,968
3169703,Turmalina,MG,-17.285555,-42.73,3103,Jequitinhonha,31011,Capelinha,125,161,286,43,287,330
3169802,Turvolândia,MG,-21.875555,-45.786945,3110,Sul/Sudoeste de Minas,31053,Santa Rita do Sapucaí,1108,3379,4487,1607,3987,5594
3169901,Ubá,MG,-21.120001,-42.94278,3112,Zona da Mata,31064,Ubá,-192,549,357,-196,620,424
3170008,Ubaí,MG,-16.285276,-44.778057,3102,Norte de Minas,31007,Montes Claros,172,634,806,229,699,928
3170057,Ubaporanga,MG,-19.635277,-42.105553,3108,Vale do Rio Doce,31040,Caratinga,2312,7202,9514,3931,7640,11571
3170107,Uberaba,MG,-19.748333,-47.931946,3105,Triângulo Mineiro/Alto Paranaíba,31022,Uberaba,13173,14567,27740,14814,15685,30499
3170206,Uberlândia,MG,-18.91861,-48.277222,3105,Triângulo Mineiro/Alto Paranaíba,31018,Uberlândia,-56,181,125,-79,221,142
3170305,Umburatiba,MG,-17.255833,-40.572777,3104,Vale do Mucuri,31016,Nanuque,-954,2836,1882,-590,3404,2814
3170404,Unaí,MG,-16.3575,-46.906113,3101,Noroeste de Minas,31001,Unaí,-42,336,294,2,356,358
3170438,União de Minas,MG,-19.530277,-50.335831,3105,Triângulo Mineiro/Alto Paranaíba,31021,Frutal,70,113,183,68,145,213
3170479,Uruana de Minas,MG,-16.064165,-46.254166,3101,Noroeste de Minas,31001,Unaí,-152,661,509,-39,629,590
3170503,Urucânia,MG,-20.350834,-42.739445,3112,Zona da Mata,31060,Ponte Nova,111,533,644,29,661,690
3170529,Urucuia,MG,-16.1325,-45.742222,3102,Norte de Minas,31003,Januária,-215,564,349,-170,605,435
3170578,Vargem Alegre,MG,-19.608334,-42.298332,3108,Vale do Rio Doce,31040,Caratinga,-194,433,239,-252,550,298
3170602,Vargem Bonita,MG,-20.326668,-46.366108,3109,Oeste de Minas,31042,Piuí,-177,287,110,-215,328,113
3170651,Vargem Grande do Rio Pardo,MG,-15.402778,-42.307499,3102,Norte de Minas,31005,Salinas,2040,3762,5802,2029,4377,6406
3170701,Varginha,MG,-21.551388,-45.430279,3110,Sul/Sudoeste de Minas,31050,Varginha,265,478,743,394,381,775
3170750,Varjão de Minas,MG,-18.377777,-46.031666,3101,Noroeste de Minas,31002,Paracatu,-633,2277,1644,-837,2817,1980
3170800,Várzea da Palma,MG,-17.598057,-44.730835,3102,Norte de Minas,31006,Pirapora,-616,1031,415,-847,1320,473
3170909,Varzelândia,MG,-15.701388,-44.0275,3102,Norte de Minas,31007,Montes Claros,-767,1586,819,-669,1709,1040
3171006,Vazante,MG,-17.986944,-46.90778,3101,Noroeste de Minas,31002,Paracatu,22,379,401,129,385,514
3171030,Verdelândia,MG,-15.589167,-43.602776,3102,Norte de Minas,31007,Montes Claros,-98,272,174,-145,329,184
3171071,Veredinha,MG,-17.399445,-42.735558,3103,Jequitinhonha,31011,Capelinha,187,312,499,123,388,511
3171105,Veríssimo,MG,-19.663334,-48.308334,3105,Triângulo Mineiro/Alto Paranaíba,31022,Uberaba,-89,321,232,-156,415,259
3171154,Vermelho Novo,MG,-20.03611,-42.266945,3112,Zona da Mata,31060,Ponte Nova,7338,3879,11217,8091,4084,12175
3171204,Vespasiano,MG,-19.691944,-43.923336,3107,Metropolitana de Belo Horizonte,31030,Belo Horizonte,250,4473,4723,642,4345,4987
3171303,Viçosa,MG,-20.753889,-42.881943,3112,Zona da Mata,31062,Viçosa,8,182,190,-46,232,186
3171402,Vieiras,MG,-20.865833,-42.24361,3112,Zona da Mata,31063,Muriaé,-84,200,116,-87,232,145
3171600,Virgem da Lapa,MG,-16.804443,-42.343056,3103,Jequitinhonha,31012,Araçuaí,-49,480,431,-149,621,472
3171709,Virgínia,MG,-22.333334,-45.091667,3110,Sul/Sudoeste de Minas,31056,Itajubá,-92,296,204,-66,337,271
3171808,Virginópolis,MG,-18.822779,-42.703888,3108,Vale do Rio Doce,31035,Guanhães,-172,708,536,-175,889,714
3171907,Virgolândia,MG,-18.475834,-42.306667,3108,Vale do Rio Doce,31037,Governador Valadares,-205,542,337,-175,619,444
3172004,Visconde do Rio Branco,MG,-21.010279,-42.840553,3112,Zona da Mata,31064,Ubá,701,1052,1753,708,1422,2130
3172103,Volta Grande,MG,-21.770555,-42.538887,3112,Zona da Mata,31066,Cataguases,-88,266,178,-115,306,191
3172202,Wenceslau Braz,MG,-22.534445,-45.362778,3110,Sul/Sudoeste de Minas,31056,Itajubá,97,64,161,61,117,178
